date,campaign_id,campaign_name,channel,spend_amount,impressions,attributed_signups
2021-05-25,C0476,facebook_0476,facebook,335.40,25597,0
2021-05-26,C0476,facebook_0476,facebook,447.15,46922,1
2021-05-27,C0476,facebook_0476,facebook,363.54,32423,2
2021-05-28,C0476,facebook_0476,facebook,279.01,39067,2
2021-05-29,C0476,facebook_0476,facebook,310.46,22470,2
2021-05-29,C0700,google_display_0700,google_display,896.62,362743,0
2021-05-30,C0476,facebook_0476,facebook,453.45,54320,1
2021-05-30,C0700,google_display_0700,google_display,1020.55,208791,0
2021-05-31,C0090,tiktok_0090,tiktok,303.86,33792,1
2021-05-31,C0476,facebook_0476,facebook,326.54,43392,1
2021-05-31,C0700,google_display_0700,google_display,557.09,108876,1
2021-06-01,C0090,tiktok_0090,tiktok,285.87,39342,1
2021-06-01,C0190,tiktok_0190,tiktok,554.60,81384,1
2021-06-01,C0476,facebook_0476,facebook,313.26,28990,1
2021-06-01,C0700,google_display_0700,google_display,478.39,211804,1
2021-06-02,C0090,tiktok_0090,tiktok,253.67,36989,1
2021-06-02,C0190,tiktok_0190,tiktok,283.52,30850,0
2021-06-02,C0476,facebook_0476,facebook,420.29,45494,2
2021-06-02,C0700,google_display_0700,google_display,996.56,177478,2
2021-06-03,C0090,tiktok_0090,tiktok,288.79,43628,0
2021-06-03,C0190,tiktok_0190,tiktok,553.46,103076,0
2021-06-03,C0476,facebook_0476,facebook,422.46,40453,1
2021-06-03,C0700,google_display_0700,google_display,437.43,171143,0
2021-06-04,C0090,tiktok_0090,tiktok,292.33,31569,0
2021-06-04,C0190,tiktok_0190,tiktok,275.61,40824,0
2021-06-04,C0476,facebook_0476,facebook,268.92,28638,1
2021-06-04,C0700,google_display_0700,google_display,976.82,340832,1
2021-06-05,C0090,tiktok_0090,tiktok,303.26,43939,0
2021-06-05,C0190,tiktok_0190,tiktok,167.20,18721,0
2021-06-05,C0476,facebook_0476,facebook,266.30,20742,0
2021-06-05,C0700,google_display_0700,google_display,705.27,181382,2
2021-06-06,C0090,tiktok_0090,tiktok,274.42,31165,2
2021-06-06,C0190,tiktok_0190,tiktok,146.95,21187,0
2021-06-06,C0476,facebook_0476,facebook,420.82,34675,3
2021-06-06,C0700,google_display_0700,google_display,821.77,159696,2
2021-06-07,C0090,tiktok_0090,tiktok,270.69,52711,0
2021-06-07,C0190,tiktok_0190,tiktok,451.82,54905,0
2021-06-07,C0476,facebook_0476,facebook,394.89,34047,1
2021-06-07,C0700,google_display_0700,google_display,546.27,152630,1
2021-06-08,C0090,tiktok_0090,tiktok,296.81,49880,0
2021-06-08,C0190,tiktok_0190,tiktok,386.66,64038,0
