listing_id,host_user_id,status,city,state,monthly_price,listed_date,snapshot_date
L00001,U06940,active,Tucson,AZ,444.48,2021-12-14,2021-12-14
L00001,U06940,active,Tucson,AZ,444.48,2021-12-14,2026-05-25
L00002,U08521,active,Nashville,TN,198.16,2022-08-18,2022-08-18
L00002,U08521,active,Nashville,TN,198.16,2022-08-18,2026-05-25
L00003,U01882,active,Detroit,MI,386.13,2021-11-06,2021-11-06
L00003,U01882,active,Detroit,MI,386.13,2021-11-06,2026-05-25
L00004,U08144,active,Dallas,TX,116.07,2024-07-24,2024-07-24
L00004,U08144,active,Dallas,TX,116.07,2024-07-24,2026-05-25
L00005,U09205,active,Richmond,VA,54.05,2026-02-19,2026-02-19
L00005,U09205,active,Richmond,VA,54.05,2026-02-19,2026-05-25
L00006,U05680,active,Portland,OR,363.52,2023-08-05,2023-08-05
L00006,U05680,inactive,Portland,OR,363.52,2023-08-05,2025-08-22
L00006,U05680,inactive,Portland,OR,363.52,2023-08-05,2026-05-25
L00007,U12504,active,Chicago,IL,238.67,2023-05-31,2023-05-31
L00007,U12504,active,Chicago,IL,238.67,2023-05-31,2026-05-25
L00008,U07781,active,Durham,NC,117.80,2025-07-26,2025-07-26
L00008,U07781,active,Durham,NC,117.80,2025-07-26,2026-05-25
L00009,U06526,active,Phoenix,AZ,83.13,2025-04-24,2025-04-24
L00009,U06526,active,Phoenix,AZ,83.13,2025-04-24,2026-05-25
L00010,U02661,active,Memphis,TN,146.50,2023-02-06,2023-02-06
L00010,U02661,active,Memphis,TN,146.50,2023-02-06,2026-05-25
L00011,U02313,active,Springfield,IL,377.53,2026-02-27,2026-02-27
L00011,U02313,active,Springfield,IL,377.53,2026-02-27,2026-05-25
L00012,U11991,active,Durham,NC,416.47,2021-07-12,2021-07-12
L00012,U11991,active,Durham,NC,416.47,2021-07-12,2026-05-25
L00013,U06730,active,Rochester,NY,366.95,2025-11-16,2025-11-16
L00013,U06730,active,Rochester,NY,366.95,2025-11-16,2026-05-25
L00014,U01309,active,Saint Paul,MN,315.70,2026-02-05,2026-02-05
L00014,U01309,active,Saint Paul,MN,315.70,2026-02-05,2026-05-25
L00015,U09926,active,Colorado Springs,CO,64.07,2024-09-17,2024-09-17
L00015,U09926,active,Colorado Springs,CO,64.07,2024-09-17,2026-05-25
L00016,U07650,active,Pittsburgh,PA,128.75,2025-12-27,2025-12-27
L00016,U07650,active,Pittsburgh,PA,128.75,2025-12-27,2026-05-25
L00017,U00546,active,San Diego,CA,100.04,2024-07-22,2024-07-22
L00017,U00546,active,San Diego,CA,100.04,2024-07-22,2026-05-25
L00018,U12319,active,Provo,UT,225.51,2023-11-09,2023-11-09
L00018,U12319,active,Provo,UT,225.51,2023-11-09,2026-05-25
L00019,U09079,active,Las Vegas,NV,381.77,2024-02-14,2024-02-14
L00019,U09079,active,Las Vegas,NV,381.77,2024-02-14,2026-05-25
L00020,U12615,active,Buffalo,NY,159.32,2022-08-10,2022-08-10
L00020,U12615,active,Buffalo,NY,159.32,2022-08-10,2026-05-25
L00021,U02189,active,Sacramento,CA,330.55,2025-04-26,2025-04-26
L00021,U02189,active,Sacramento,CA,330.55,2025-04-26,2026-05-25
L00022,U06307,active,Seattle,WA,287.13,2024-01-03,2024-01-03
L00022,U06307,inactive,Seattle,WA,287.13,2024-01-03,2026-04-20
L00022,U06307,inactive,Seattle,WA,287.13,2024-01-03,2026-05-25
