reservation_id,user_id,listing_id,reservation_date,duration_months,amount
R017479,U09043,L00099,2021-06-03,3,1238.04
R003854,U01973,L03843,2021-06-18,1,295.85
R004649,U02397,L02550,2021-06-18,2,732.10
R012913,U06625,L04867,2021-06-18,1,442.95
R011729,U06029,L02550,2021-06-27,1,366.05
R028694,U14741,L04747,2021-06-30,2,898.94
R011732,U06029,L04640,2021-07-01,2,178.92
R022652,U11682,L04476,2021-07-03,3,544.35
R028999,U14883,L03700,2021-07-04,1,320.25
R022077,U11389,L02291,2021-07-12,2,412.84
R009604,U04961,L02611,2021-07-14,2,607.78
R005998,U03092,L01561,2021-07-19,12,1524.12
R001661,U00832,L03538,2021-07-20,1,326.79
R021958,U11333,L00099,2021-07-21,1,412.68
R011969,U06133,L05657,2021-07-22,3,1267.50
R006506,U03349,L04488,2021-07-24,2,123.00
R017969,U09298,L00456,2021-07-25,2,368.52
R019190,U09940,L02511,2021-07-25,2,406.22
R017722,U09163,L03236,2021-07-26,2,517.30
R021514,U11121,L00494,2021-07-27,12,1043.76
R018527,U09585,L02123,2021-08-01,1,138.07
R018493,U09563,L04476,2021-08-02,12,2177.40
R003989,U02044,L02453,2021-08-04,1,275.39
R007505,U03861,L02611,2021-08-04,3,911.67
R010092,U05203,L04547,2021-08-05,1,144.33
R028708,U14746,L03999,2021-08-06,1,203.93
R004989,U02608,L03043,2021-08-08,3,740.25
R022508,U11623,L02574,2021-08-11,1,313.21
R021173,U10948,L03527,2021-08-14,1,369.78
R000719,U00353,L01215,2021-08-19,2,866.14
R005423,U02811,L02029,2021-08-19,2,311.18
R029159,U14979,L01891,2021-08-19,3,804.90
R020487,U10612,L03843,2021-08-20,1,295.85
R024435,U12623,L00147,2021-08-20,2,649.08
R001986,U01017,L03141,2021-08-21,1,287.02
R021039,U10889,L00456,2021-08-23,2,368.52
R008543,U04394,L03181,2021-08-24,2,567.66
R006492,U03344,L02635,2021-08-27,12,2351.52
R012398,U06347,L01015,2021-08-27,1,435.92
R025898,U13349,L02940,2021-08-28,1,200.35
R028322,U14562,L00436,2021-08-28,2,441.06
R016634,U08608,L03303,2021-08-29,2,151.02
R020277,U10494,L00917,2021-08-29,1,279.35
R004656,U02402,L04516,2021-08-30,6,497.34
R005395,U02795,L03133,2021-08-30,2,596.16
R020338,U10529,L01849,2021-09-05,3,1269.63
R013846,U07143,L01200,2021-09-06,6,1283.64
R025021,U12907,L02158,2021-09-06,2,316.38
R002669,U01374,L04516,2021-09-07,1,82.89
R028438,U14611,L02239,2021-09-07,2,528.56
R008354,U04293,L03181,2021-09-08,2,567.66
R013930,U07190,L03548,2021-09-08,1,116.91
R015686,U08101,L04619,2021-09-08,1,297.14
R010375,U05347,L02541,2021-09-11,3,994.95
R014363,U07431,L03004,2021-09-11,1,185.49
R007157,U03676,L04836,2021-09-12,3,1233.60
R022133,U11418,L05510,2021-09-12,1,88.99
R027414,U14108,L00456,2021-09-14,2,368.52
R017399,U09000,L04020,2021-09-16,3,1032.84
R001757,U00885,L02833,2021-09-20,1,445.12
R003673,U01876,L03318,2021-09-20,2,876.66
R004798,U02487,L04399,2021-09-20,3,991.89
R013029,U06694,L01602,2021-09-20,1,83.51
R016766,U08670,L02550,2021-09-20,12,4392.60
R026671,U13730,L04246,2021-09-20,2,687.00
R025629,U13220,L03003,2021-09-21,12,1248.84
R027070,U13959,L02630,2021-09-22,2,590.66
R013068,U06716,L01435,2021-09-23,1,242.38
R022760,U11734,L02312,2021-09-23,2,310.10
R005983,U03085,L01323,2021-09-28,1,77.40
R013119,U06745,L04462,2021-09-28,2,150.42
R017348,U08976,L00675,2021-09-28,1,362.25
R006924,U03567,L03365,2021-09-30,1,313.69
R027066,U13959,L02901,2021-09-30,1,449.44
R002534,U01299,L00147,2021-10-01,6,1947.24
R028264,U14525,L04954,2021-10-02,2,742.86
R017018,U08801,L03622,2021-10-03,3,1322.73
R017302,U08958,L04217,2021-10-03,1,413.36
R026346,U13582,L03109,2021-10-03,1,344.08
R012959,U06649,L00484,2021-10-04,1,342.89
R013085,U06727,L05400,2021-10-06,1,253.52
R020184,U10443,L04891,2021-10-06,12,3553.32
R000121,U00059,L01561,2021-10-07,2,254.02
R008403,U04320,L00917,2021-10-10,1,279.35
R014287,U07387,L05131,2021-10-10,2,717.60
R019367,U10018,L02577,2021-10-12,2,541.46
R015616,U08065,L03046,2021-10-13,2,141.86
R018489,U09563,L04072,2021-10-13,1,96.48
R025812,U13310,L01954,2021-10-15,1,283.93
R004096,U02104,L02355,2021-10-17,1,215.18
R005156,U02679,L01349,2021-10-18,1,427.79
R009737,U05022,L01602,2021-10-18,12,1002.12
R009082,U04679,L05108,2021-10-19,3,1042.47
R025397,U13104,L01096,2021-10-19,2,329.48
R025959,U13377,L03109,2021-10-19,6,2064.48
R007062,U03632,L00800,2021-10-20,2,758.04
R020330,U10525,L01159,2021-10-21,1,295.71
R028127,U14467,L04962,2021-10-21,2,647.22
R014819,U07669,L03670,2021-10-22,1,192.86
R017282,U08951,L04619,2021-10-24,2,594.28
R019623,U10164,L01623,2021-10-25,2,642.70
R021970,U11337,L03474,2021-10-25,2,388.78
R017970,U09298,L05000,2021-10-26,12,1895.64
R013021,U06691,L00279,2021-10-27,1,230.29
R020486,U10612,L02769,2021-10-27,2,581.96
R027830,U14326,L05948,2021-10-29,6,1919.34
R003667,U01872,L01435,2021-10-31,1,242.38
R022556,U11637,L02998,2021-10-31,12,2410.68
R012962,U06650,L02483,2021-11-01,2,694.20
R024585,U12690,L04374,2021-11-01,12,1661.16
R000590,U00291,L00931,2021-11-03,1,417.40
R022002,U11350,L01276,2021-11-03,1,378.83
R027657,U14248,L05011,2021-11-04,1,126.16
R004669,U02408,L05135,2021-11-05,2,268.44
R007624,U03921,L01933,2021-11-07,1,249.06
R016758,U08661,L04431,2021-11-07,1,67.60
R007356,U03778,L05803,2021-11-11,6,2422.44
R016460,U08511,L00416,2021-11-11,12,2658.84
R021370,U11057,L01891,2021-11-11,2,536.60
R027930,U14366,L00096,2021-11-11,1,395.18
