user_id,join_date,state,status,acquisition_channel,snapshot_date
U00001,2023-06-10,NV,active,google_search,2023-06-10
U00001,2023-06-10,NV,active,google_search,2026-05-25
U00002,2025-06-02,TN,active,google_search,2025-06-02
U00002,2025-06-02,TN,active,google_search,2026-05-25
U00003,2026-05-23,IL,active,google_search,2026-05-23
U00003,2026-05-23,IL,active,google_search,2026-05-25
U00004,2023-10-19,CO,active,google_search,2023-10-19
U00004,2023-10-19,CO,active,google_search,2026-05-25
U00005,2022-06-18,VA,active,facebook,2022-06-18
U00005,2022-06-18,VA,active,facebook,2026-05-25
U00006,2021-06-01,AZ,active,organic,2021-06-01
U00006,2021-06-01,AZ,active,organic,2026-05-25
U00007,2021-06-20,MA,active,google_search,2021-06-20
U00007,2021-06-20,MA,active,google_search,2026-05-25
U00008,2022-06-12,NY,active,google_search,2022-06-12
U00008,2022-06-12,NY,churned,google_search,2023-07-04
U00008,2022-06-12,NY,churned,google_search,2026-05-25
U00009,2025-06-01,OR,active,instagram,2025-06-01
U00009,2025-06-01,OR,active,instagram,2026-05-25
U00010,2021-06-18,AZ,active,google_search,2021-06-18
U00010,2021-06-18,AZ,active,google_search,2026-05-25
U00011,2025-03-19,IL,active,google_search,2025-03-19
U00011,2025-03-19,IL,active,google_search,2026-05-25
U00012,2023-08-13,NV,active,facebook,2023-08-13
U00012,2023-08-13,NV,active,facebook,2026-05-25
U00013,2025-07-09,NY,active,google_search,2025-07-09
U00013,2025-07-09,NY,paused,google_search,2026-02-28
U00013,2025-07-09,NY,paused,google_search,2026-05-25
U00014,2025-07-31,UT,active,facebook,2025-07-31
U00014,2025-07-31,UT,active,facebook,2026-05-25
U00015,2022-06-10,FL,active,facebook,2022-06-10
U00015,2022-06-10,FL,paused,facebook,2023-08-09
U00015,2022-06-10,FL,paused,facebook,2026-05-25
U00016,2023-07-05,TN,active,facebook,2023-07-05
U00016,2023-07-05,TN,active,facebook,2026-05-25
U00017,2023-08-08,NV,active,,2023-08-08
U00017,2023-08-08,NV,paused,,2023-09-22
U00017,2023-08-08,NV,paused,,2026-05-25
U00018,2021-08-26,GA,active,referral,2021-08-26
U00018,2021-08-26,GA,active,referral,2026-05-25
U00019,2023-03-04,MI,active,google_search,2023-03-04
U00019,2023-03-04,MI,active,google_search,2026-05-25
U00020,2024-05-29,TX,active,facebook,2024-05-29
U00020,2024-05-29,TX,paused,facebook,2024-11-21
U00020,2024-05-29,TX,paused,facebook,2026-05-25
U00021,2025-02-06,TX,active,facebook,2025-02-06
U00021,2025-02-06,TX,active,facebook,2026-05-25
U00022,2023-06-05,CA,active,google_search,2023-06-05
U00022,2023-06-05,CA,active,google_search,2026-05-25
U00023,2023-09-04,OR,active,google_search,2023-09-04
U00023,2023-09-04,OR,active,google_search,2026-05-25
U00024,2025-06-28,UT,active,instagram,2025-06-28
U00024,2025-06-28,UT,active,instagram,2026-05-25
U00025,2024-04-21,PA,active,,2024-04-21
U00025,2024-04-21,PA,active,,2026-05-25
U00026,2023-09-14,CA,active,facebook,2023-09-14
U00026,2023-09-14,CA,active,facebook,2026-05-25
U00027,2023-07-19,FL,active,facebook,2023-07-19
U00027,2023-07-19,FL,active,facebook,2026-05-25
U00028,2025-12-25,PA,active,google_search,2025-12-25
U00028,2025-12-25,PA,active,google_search,2026-05-25
U00029,2021-10-20,CO,active,google_search,2021-10-20
U00029,2021-10-20,CO,active,google_search,2026-05-25
U00030,2025-05-31,MA,active,tiktok,2025-05-31
U00030,2025-05-31,MA,active,tiktok,2026-05-25
U00031,2023-05-24,WA,active,google_search,2023-05-24
U00031,2023-05-24,WA,active,google_search,2026-05-25
U00032,2022-11-01,MN,active,instagram,2022-11-01
U00032,2022-11-01,MN,active,instagram,2026-05-25
U00033,2022-06-17,CO,active,google_search,2022-06-17
U00033,2022-06-17,CO,active,google_search,2026-05-25
U00034,2024-05-07,TX,active,google_search,2024-05-07
U00034,2024-05-07,TX,active,google_search,2026-05-25
U00035,2023-11-23,NY,active,instagram,2023-11-23
U00035,2023-11-23,NY,active,instagram,2026-05-25
U00036,2024-10-25,MA,active,referral,2024-10-25
U00036,2024-10-25,MA,paused,referral,2024-11-24
U00036,2024-10-25,MA,paused,referral,2026-05-25
U00037,2023-08-07,GA,active,google_search,2023-08-07
U00037,2023-08-07,GA,paused,google_search,2024-11-01
U00037,2023-08-07,GA,paused,google_search,2026-05-25
U00038,2023-03-22,CA,active,instagram,2023-03-22
U00038,2023-03-22,CA,churned,instagram,2024-06-09
U00038,2023-03-22,CA,churned,instagram,2026-05-25
U00039,2025-05-01,CA,active,facebook,2025-05-01
U00039,2025-05-01,CA,active,facebook,2026-05-25
U00040,2024-08-11,VA,active,facebook,2024-08-11
U00040,2024-08-11,VA,active,facebook,2026-05-25
U00041,2022-10-23,PA,active,facebook,2022-10-23
U00041,2022-10-23,PA,active,facebook,2026-05-25
U00042,2026-03-08,NY,active,tiktok,2026-03-08
U00042,2026-03-08,NY,active,tiktok,2026-05-25
U00043,2023-11-13,TN,active,organic,2023-11-13
U00043,2023-11-13,TN,paused,organic,2025-03-19
U00043,2023-11-13,TN,paused,organic,2026-05-25
U00044,2024-11-27,UT,active,tiktok,2024-11-27
U00044,2024-11-27,UT,active,tiktok,2026-05-25
U00045,2024-06-27,AZ,active,google_display,2024-06-27
U00045,2024-06-27,AZ,active,google_display,2026-05-25
U00046,2025-09-02,MI,active,google_search,2025-09-02
U00046,2025-09-02,MI,active,google_search,2026-05-25
U00047,2021-12-16,MI,active,referral,2021-12-16
U00047,2021-12-16,MI,churned,referral,2022-07-09
U00047,2021-12-16,MI,churned,referral,2026-05-25
U00048,2022-06-25,AZ,active,google_display,2022-06-25
U00048,2022-06-25,AZ,active,google_display,2026-05-25
U00049,2024-01-20,PA,active,facebook,2024-01-20
U00049,2024-01-20,PA,active,facebook,2026-05-25
U00050,2021-12-22,MA,active,facebook,2021-12-22
U00050,2021-12-22,MA,active,facebook,2026-05-25
U00051,2026-04-22,PA,active,facebook,2026-04-22
U00051,2026-04-22,PA,active,facebook,2026-05-25
U00052,2024-10-07,TN,active,facebook,2024-10-07
U00052,2024-10-07,TN,active,facebook,2026-05-25
U00053,2021-12-16,PA,active,organic,2021-12-16
U00053,2021-12-16,PA,active,organic,2026-05-25
U00054,2025-01-01,NV,active,instagram,2025-01-01
U00054,2025-01-01,NV,active,instagram,2026-05-25
U00055,2025-04-08,AZ,active,referral,2025-04-08
U00055,2025-04-08,AZ,active,referral,2026-05-25
U00056,2026-01-17,WA,active,,2026-01-17
U00056,2026-01-17,WA,active,,2026-05-25
U00057,2021-10-14,WA,active,instagram,2021-10-14
U00057,2021-10-14,WA,active,instagram,2026-05-25
U00058,2023-09-20,VA,active,google_search,2023-09-20
U00058,2023-09-20,VA,active,google_search,2026-05-25
U00059,2021-07-09,MN,active,facebook,2021-07-09
U00059,2021-07-09,MN,active,facebook,2026-05-25
U00060,2023-04-09,PA,active,organic,2023-04-09
U00060,2023-04-09,PA,active,organic,2026-05-25
U00061,2022-10-16,CA,active,google_search,2022-10-16
U00061,2022-10-16,CA,active,google_search,2026-05-25
U00062,2024-06-04,MI,active,google_search,2024-06-04
U00062,2024-06-04,MI,active,google_search,2026-05-25
U00063,2022-05-08,OH,active,google_display,2022-05-08
U00063,2022-05-08,OH,active,google_display,2026-05-25
U00064,2025-04-25,MA,active,tiktok,2025-04-25
U00064,2025-04-25,MA,active,tiktok,2026-05-25
U00065,2022-11-26,PA,active,google_display,2022-11-26
U00065,2022-11-26,PA,paused,google_display,2026-02-09
U00065,2022-11-26,PA,paused,google_display,2026-05-25
U00066,2025-01-17,GA,active,facebook,2025-01-17
U00066,2025-01-17,GA,active,facebook,2026-05-25
U00067,2021-10-30,NV,active,tiktok,2021-10-30
U00067,2021-10-30,NV,active,tiktok,2026-05-25
U00068,2021-12-25,MN,active,google_search,2021-12-25
U00068,2021-12-25,MN,paused,google_search,2025-12-24
U00068,2021-12-25,MN,paused,google_search,2026-05-25
U00069,2026-01-08,TN,active,instagram,2026-01-08
U00069,2026-01-08,TN,active,instagram,2026-05-25
U00070,2025-07-21,VA,active,organic,2025-07-21
U00070,2025-07-21,VA,active,organic,2026-05-25
U00071,2025-07-25,WA,active,facebook,2025-07-25
U00071,2025-07-25,WA,active,facebook,2026-05-25
U00072,2025-07-30,UT,active,google_display,2025-07-30
U00072,2025-07-30,UT,paused,google_display,2026-02-14
U00072,2025-07-30,UT,paused,google_display,2026-05-25
U00073,2022-10-16,NY,active,google_search,2022-10-16
U00073,2022-10-16,NY,active,google_search,2026-05-25
U00074,2021-08-05,PA,active,referral,2021-08-05
U00074,2021-08-05,PA,active,referral,2026-05-25
U00075,2023-04-02,GA,active,facebook,2023-04-02
U00075,2023-04-02,GA,active,facebook,2026-05-25
U00076,2025-02-09,UT,active,facebook,2025-02-09
U00076,2025-02-09,UT,active,facebook,2026-05-25
U00077,2024-09-27,NV,active,facebook,2024-09-27
U00077,2024-09-27,NV,active,facebook,2026-05-25
U00078,2022-06-23,CA,active,google_search,2022-06-23
U00078,2022-06-23,CA,active,google_search,2026-05-25
U00079,2025-08-27,OH,active,facebook,2025-08-27
U00079,2025-08-27,OH,active,facebook,2026-05-25
U00080,2023-02-21,MI,active,facebook,2023-02-21
U00080,2023-02-21,MI,active,facebook,2026-05-25
U00081,2024-05-01,TX,active,google_display,2024-05-01
U00081,2024-05-01,TX,active,google_display,2026-05-25
U00082,2021-06-29,GA,active,instagram,2021-06-29
U00082,2021-06-29,GA,active,instagram,2026-05-25
U00083,2025-03-22,NY,active,tiktok,2025-03-22
U00083,2025-03-22,NY,active,tiktok,2026-05-25
U00084,2024-01-02,MN,active,facebook,2024-01-02
U00084,2024-01-02,MN,active,facebook,2026-05-25
U00085,2025-02-01,NC,active,google_search,2025-02-01
