cohort_period,user_count,host_count,listing_count,total_ltv,total_cac,ltv_cac_ratio
2021-05-25,6,0,0,0.00,0.00,
2021-05-26,13,4,9,230164.08,447.15,514.7357262663536
2021-05-27,10,3,5,111718.83,363.54,307.3082191780822
2021-05-28,5,1,1,23119.50,279.01,82.86262141141894
2021-05-29,9,2,4,139160.73,310.46,448.2404496553502
2021-05-30,7,3,6,200388.72,453.45,441.9202117102216
2021-05-31,7,0,0,0.00,1187.49,0.0
2021-06-01,8,1,2,61642.08,1632.12,37.768105286376006
2021-06-02,9,2,3,49102.83,1954.04,25.128876583897977
2021-06-03,6,1,3,107204.46,422.46,253.76239170572364
2021-06-04,5,0,0,0.00,1245.74,0.0
2021-06-05,7,1,4,112213.53,705.27,159.10719298991876
2021-06-06,11,1,2,62854.20,1663.96,37.77386475636433
2021-06-07,10,5,10,284045.04,941.16,301.8031365548897
2021-06-08,7,0,0,0.00,1176.63,0.0
2021-06-09,6,2,3,63763.83,408.41,156.12700472564333
2021-06-10,9,1,7,193591.26,1722.50,112.38970101596517
2021-06-11,12,2,8,166278.69,1982.07,83.89143168505653
2021-06-12,8,1,5,185771.16,613.06,303.02280364075295
2021-06-13,7,2,4,130271.76,847.96,153.62960517005519
2021-06-14,11,1,1,19322.31,3365.63,5.741067794142553
2021-06-15,9,2,5,149053.92,3024.79,49.277444053967386
2021-06-16,8,0,0,0.00,1878.95,0.0
2021-06-17,7,1,4,110636.43,2377.93,46.526361162860134
2021-06-18,10,3,13,227221.17,3924.66,57.89575912308328
2021-06-19,2,0,0,0.00,1649.08,0.0
2021-06-20,10,3,4,68986.80,1650.22,41.80460787046576
2021-06-21,5,1,7,143037.18,1992.75,71.77878810688746
2021-06-22,7,0,0,0.00,2040.01,0.0
2021-06-23,7,2,3,62715.42,2318.44,27.050697883059296
2021-06-24,10,0,0,0.00,5441.10,0.0
2021-06-25,4,1,1,19316.73,3797.73,5.086388447835944
2021-06-26,10,3,7,132851.79,5540.37,23.978866032413
2021-06-27,8,1,2,43074.39,3188.85,13.507813161484547
2021-06-28,10,1,3,40210.62,3714.81,10.824408246989753
2021-06-29,12,2,6,143765.10,5465.32,26.30497390820666
2021-06-30,10,0,0,0.00,3878.35,0.0
2021-07-01,3,1,7,127194.24,4602.72,27.634581291062677
2021-07-02,7,1,1,43393.14,6200.51,6.998317880303394
2021-07-03,8,3,8,255134.82,4101.16,62.210403885729896
2021-07-04,8,3,5,69854.22,7120.16,9.81076548841599
2021-07-05,8,1,1,28481.52,4918.63,5.790539235518834
2021-07-06,7,1,1,15018.93,3167.23,4.741976427351345
2021-07-07,9,1,1,10826.58,8664.41,1.2495461318197085
2021-07-08,8,3,7,194872.86,7922.68,24.596835919158664
2021-07-09,5,1,2,48296.22,4683.29,10.312455560087033
2021-07-10,5,2,11,337807.44,4851.54,69.62890958334879
2021-07-11,8,2,6,120715.20,6962.93,17.336839520144537
2021-07-12,5,1,3,62397.03,6937.37,8.994335028980723
2021-07-13,5,3,5,162246.69,6755.92,24.015484197563026
2021-07-14,9,2,3,90170.25,5979.70,15.079393615064301
2021-07-15,14,3,5,152751.21,8407.19,18.16911595907788
2021-07-16,4,1,2,32397.30,5637.62,5.746627122792952
2021-07-17,5,1,5,100615.05,1928.94,52.16079815857414
2021-07-18,3,0,0,0.00,6044.62,0.0
2021-07-19,4,1,2,49633.38,4493.42,11.045791401649522
2021-07-20,7,1,1,20830.65,7035.75,2.960686493977188
2021-07-21,9,2,4,135191.64,10549.21,12.815333091293095
2021-07-22,7,2,3,144895.59,6538.98,22.158744941871667
2021-07-23,12,1,1,14065.50,8323.78,1.689797183491154
2021-07-24,8,2,5,178752.90,7223.99,24.744344884198345
2021-07-25,8,3,12,220915.05,2860.59,77.22709301228068
2021-07-26,8,1,4,65573.94,4958.93,13.223405049073087
2021-07-27,8,1,1,14909.10,7809.07,1.909203016492361
2021-07-28,8,3,7,190357.65,8917.90,21.345569024097603
2021-07-29,9,0,0,0.00,6264.78,0.0
2021-07-30,10,1,1,32935.05,7056.34,4.667440911293958
2021-07-31,6,1,4,95280.42,5040.71,18.90218243064965
2021-08-01,8,0,0,0.00,8801.85,0.0
2021-08-02,6,1,2,18447.33,6938.00,2.658882963390026
2021-08-03,3,1,3,81209.61,3273.14,24.81091856749177
2021-08-04,9,3,5,88039.26,4914.59,17.91385649667622
2021-08-05,12,1,1,7494.30,9026.62,0.830244321794869
2021-08-06,8,2,4,103296.27,12024.38,8.590569326651353
2021-08-07,6,0,0,0.00,8348.11,0.0
