cohort_period,user_count,host_count,listing_count,total_ltv,total_cac,ltv_cac_ratio
2021-05-01,57,13,25,704551.86,3041.10,231.67664989641906
2021-06-01,245,40,107,2576930.70,70564.37,36.51886497392381
2021-07-01,225,49,118,3015513.57,191960.07,15.70906683874412
2021-08-01,268,45,98,2374462.47,300112.84,7.911898971067016
2021-09-01,253,46,112,2810014.50,292136.70,9.618834264917759
2021-10-01,267,39,89,2306071.11,371960.38,6.199776196593841
2021-11-01,231,38,86,2249632.74,259808.88,8.658798498342321
2021-12-01,258,54,126,2937886.59,296237.02,9.917351281754048
2022-01-01,239,45,99,2252077.02,245794.38,9.16244309572904
2022-02-01,215,38,90,2246261.22,196739.74,11.417424969657885
2022-03-01,268,41,97,2165791.56,272619.98,7.944361084613095
2022-04-01,273,50,114,3028803.78,333511.27,9.081563510582415
2022-05-01,248,52,126,3017370.00,271249.24,11.123975868098285
2022-06-01,243,39,72,1777575.30,300062.92,5.924008537942643
2022-07-01,244,38,97,2307747.42,319429.61,7.224588290359181
2022-08-01,233,40,78,2149930.20,294459.46,7.301277398253736
2022-09-01,267,45,106,2644706.10,273814.20,9.658761671235458
2022-10-01,255,49,119,2938333.29,227335.66,12.925087467579877
2022-11-01,244,34,82,2150614.86,168999.06,12.725602497434009
2022-12-01,231,29,69,1732186.08,306079.55,5.659267598897085
2023-01-01,250,41,107,2601636.72,1198428.32,2.170873865864585
2023-02-01,245,35,76,1725421.38,1046288.08,1.6490882511057565
2023-03-01,297,56,139,3239319.96,974591.37,3.323772464761308
2023-04-01,251,40,105,2704504.92,760913.65,3.55428624522638
2023-05-01,247,40,96,2353910.19,853205.45,2.7589019620069237
2023-06-01,220,31,72,1647663.12,801801.84,2.0549505349102217
2023-07-01,242,36,78,2010005.28,716734.81,2.8043918782178303
2023-08-01,256,41,88,2124755.52,824215.80,2.5779116585729125
2023-09-01,227,37,95,2423469.27,658116.33,3.6824329674360157
2023-10-01,257,44,100,2452541.37,747207.59,3.2822757729214183
2023-11-01,238,43,103,2479014.45,629534.55,3.9378528946505003
2023-12-01,232,39,79,1942150.35,683278.20,2.842400577100221
2024-01-01,255,33,71,1606523.64,358102.42,4.486212743270487
2024-02-01,232,39,96,2312833.89,388137.83,5.958795333090825
2024-03-01,246,40,86,1959622.05,597582.74,3.279248075337651
2024-04-01,234,45,97,2296567.38,571578.72,4.017937161831357
2024-05-01,274,50,122,3004074.69,401697.91,7.4784424195784345
2024-06-01,265,51,111,2661418.95,400433.54,6.64634373534245
2024-07-01,250,39,111,2572850.67,554648.58,4.638704150292786
2024-08-01,244,37,92,2180213.31,543539.05,4.011143835939662
2024-09-01,242,52,122,2576630.70,496787.31,5.186587193622156
2024-10-01,261,47,120,3113473.53,420959.36,7.396138026245573
2024-11-01,226,39,79,1880032.86,368112.05,5.107229877424551
2024-12-01,261,40,80,1826207.46,406921.10,4.48786622271492
2025-01-01,237,35,76,1869499.62,162831.21,11.481211863499635
2025-02-01,242,45,105,2496604.23,150357.78,16.60442332947454
2025-03-01,248,56,138,3390067.35,122048.28,27.77644510844397
2025-04-01,228,50,111,2715264.03,144646.77,18.771687954041422
2025-05-01,277,44,103,2687179.86,186803.30,14.385077030223771
2025-06-01,254,41,89,2086622.40,185515.96,11.247670550824845
2025-07-01,279,54,113,2784858.87,216794.75,12.845601058143705
2025-08-01,277,55,130,3078918.66,204747.97,15.037602863657208
2025-09-01,243,36,95,2499065.46,209563.36,11.925106850739557
2025-10-01,262,51,128,3399602.49,189378.32,17.951381604821503
2025-11-01,233,44,94,2318595.48,173885.38,13.334044989866312
2025-12-01,236,40,90,2157785.88,181464.86,11.890929626815902
2026-01-01,267,42,95,2373534.75,120686.61,19.666927010378366
2026-02-01,233,32,78,1674839.55,114298.71,14.653179812790537
2026-03-01,277,48,107,2651818.89,95011.75,27.910430973011234
2026-04-01,257,49,109,2563247.01,52189.75,49.11399288174402
2026-05-01,229,42,94,2535369.45,12575.43,201.61294285762
